iter	Passed	Remaining
647	3982	2163
648	3989	2157
649	3995	2151
650	4000	2144
651	4005	2138
652	4011	2131
653	4017	2125
654	4023	2119
655	4029	2112
656	4034	2106
657	4040	2099
658	4045	2093
659	4051	2087
660	4057	2080
661	4063	2074
662	4069	2068
663	4075	2062
664	4080	2055
665	4086	2049
666	4092	2042
667	4097	2036
668	4103	2030
669	4108	2023
670	4114	2017
671	4120	2011
672	4125	2004
673	4131	1998
674	4137	1991
675	4142	1985
676	4148	1979
677	4154	1972
678	4159	1966
679	4166	1960
680	4171	1954
681	4177	1947
682	4183	1941
683	4189	1935
684	4194	1929
685	4200	1922
686	4207	1916
687	4213	1910
688	4218	1904
689	4224	1897
690	4230	1891
691	4236	1885
692	4241	1879
693	4247	1872
694	4253	1866
695	4258	1860
696	4264	1853
697	4270	1847
698	4275	1841
699	4281	1835
700	4287	1828
701	4292	1822
702	4298	1815
703	4304	1809
704	4310	1803
705	4315	1797
706	4321	1790
707	4327	1784
708	4333	1778
709	4339	1772
710	4344	1766
711	4351	1759
712	4356	1753
713	4362	1747
714	4367	1741
715	4373	1734
716	4380	1728
717	4386	1722
718	4391	1716
719	4398	1710
720	4403	1704
721	4409	1697
722	4414	1691
723	4420	1684
724	4425	1678
725	4431	1672
726	4436	1665
727	4442	1659
728	4448	1653
729	4453	1647
730	4459	1641
731	4465	1634
732	4471	1628
733	4476	1622
734	4482	1616
735	4488	1609
736	4494	1603
737	4499	1597
738	4505	1591
739	4510	1584
740	4516	1578
741	4522	1572
742	4527	1566
743	4533	1559
744	4538	1553
745	4544	1547
746	4550	1541
747	4555	1534
748	4561	1528
749	4567	1522
750	4572	1516
751	4578	1509
752	4584	1503
753	4589	1497
754	4595	1491
755	4600	1484
756	4606	1478
757	4612	1472
758	4618	1466
759	4623	1460
760	4629	1453
761	4634	1447
762	4640	1441
763	4645	1435
764	4652	1429
765	4658	1423
766	4664	1416
767	4670	1410
768	4676	1404
769	4682	1398
770	4689	1392
771	4694	1386
772	4700	1380
773	4705	1373
774	4710	1367
775	4716	1361
776	4722	1355
777	4728	1349
778	4734	1343
779	4739	1336
780	4745	1330
781	4750	1324
782	4757	1318
783	4763	1312
784	4768	1306
785	4774	1299
786	4779	1293
787	4785	1287
788	4791	1281
789	4797	1275
790	4803	1269
791	4808	1262
792	4814	1256
793	4820	1250
794	4825	1244
795	4831	1238
796	4836	1231
797	4842	1225
798	4847	1219
799	4853	1213
800	4859	1207
801	4864	1201
802	4870	1194
803	4876	1188
804	4881	1182
805	4887	1176
806	4893	1170
807	4899	1164
808	4905	1158
809	4910	1151
810	4915	1145
811	4922	1139
812	4927	1133
813	4933	1127
814	4939	1121
815	4944	1114
816	4950	1108
817	4956	1102
818	4961	1096
819	4967	1090
820	4973	1084
821	4978	1078
822	4984	1071
823	4990	1065
824	4995	1059
825	5001	1053
826	5007	1047
827	5012	1041
828	5018	1035
829	5024	1029
830	5030	1022
831	5035	1016
832	5042	1010
833	5047	1004
834	5053	998
835	5060	992
836	5067	986
837	5074	981
838	5080	974
839	5087	969
840	5094	963
841	5100	957
842	5107	951
843	5114	945
844	5120	939
845	5127	933
846	5134	927
847	5141	921
848	5148	915
849	5155	909
850	5164	904
851	5171	898
852	5178	892
853	5186	886
854	5195	881
855	5202	875
856	5210	869
857	5219	863
858	5226	857
859	5233	852
860	5242	846
861	5248	840
862	5256	834
863	5263	828
864	5269	822
865	5275	816
866	5281	810
867	5287	804
868	5293	797
869	5299	791
870	5307	786
871	5313	779
872	5319	773
873	5325	767
874	5331	761
875	5337	755
876	5343	749
877	5349	743
878	5354	737
879	5360	731
880	5366	724
881	5372	718
882	5378	712
883	5384	706
884	5390	700
885	5396	694
886	5401	688
887	5407	682
888	5413	675
889	5418	669
890	5424	663
891	5430	657
892	5435	651
893	5443	645
894	5449	639
895	5455	633
896	5460	627
897	5467	621
898	5474	614
899	5484	609
900	5490	603
901	5496	597
902	5502	591
903	5509	585
904	5517	579
905	5524	573
906	5531	567
907	5539	561
908	5547	555
909	5555	549
910	5562	543
911	5569	537
912	5576	531
913	5583	525
914	5590	519
915	5597	513
916	5604	507
917	5612	501
918	5619	495
919	5626	489
920	5633	483
921	5639	477
922	5645	470
923	5652	464
924	5658	458
925	5664	452
926	5670	446
927	5676	440
928	5681	434
929	5687	428
930	5694	422
931	5701	415
932	5707	409
933	5713	403
934	5719	397
935	5725	391
936	5731	385
937	5737	379
938	5742	373
939	5748	366
940	5754	360
941	5760	354
942	5766	348
943	5773	342
944	5779	336
945	5785	330
946	5791	324
947	5797	317
948	5803	311
949	5809	305
950	5816	299
951	5822	293
952	5827	287
953	5833	281
954	5839	275
955	5845	269
956	5851	262
957	5857	256
958	5863	250
959	5869	244
960	5876	238
961	5883	232
962	5889	226
963	5894	220
964	5901	214
965	5907	207
966	5913	201
967	5919	195
968	5925	189
969	5932	183
970	5938	177
971	5945	171
972	5951	165
973	5957	159
974	5963	152
975	5969	146
976	5975	140
977	5982	134
978	5987	128
979	5994	122
980	6000	116
981	6006	110
982	6011	103
983	6017	97
984	6023	91
985	6029	85
986	6036	79
987	6041	73
988	6047	67
989	6053	61
990	6059	55
991	6066	48
992	6072	42
993	6078	36
994	6083	30
995	6089	24
996	6095	18
997	6101	12
998	6107	6
999	6112	0
